,ID,Title,Year,IMDb,Rotten Tomatoes,Genre,Netflix,Amazon Prime Video
42,43,Ernest & Celestine,2012,7.9,80,Animation,0,1
93,94,Gordon Lightfoot: If You Could Read My Mind,2019,7.7,51,Biography,0,1
97,98,Drew: The Man Behind the Poster,2013,7.5,59,Biography,0,1
100,101,Casting By,2012,7.6,70,Biography,0,1
134,135,Rudderless,2014,7.5,73,Comedy,0,1
136,137,Ernest & Celestine,2012,7.9,80,Comedy,0,1
214,215,Higher,2014,7.7,50,Documentary,0,1
228,229,Vessel,2014,7.6,51,Documentary,0,1
229,230,The Heart of Man,2017,8.3,55,Documentary,0,1
231,232,What Lies Upstream,2017,7.6,54,Documentary,0,1
235,236,The Russian Five,2018,8.2,60,Documentary,0,1
242,243,Mully,2015,8.1,53,Documentary,0,1
265,266,Rudderless,2014,7.5,73,Drama,0,1
272,273,Ernest & Celestine,2012,7.9,80,Drama,0,1
487,488,God of Love,2010,7.6,53,Romance,0,1
489,490,Little England,2013,7.8,58,Romance,0,1
588,589,No Game No Life: Zero,2017,7.5,59,Action & Adventure,0,1
626,627,Room on the Broom,2012,7.6,60,Animation,0,1
629,630,Digimon Adventure tri. Part 2: Determination,2016,7.5,50,Animation,0,1
643,644,Mr. Calzaghe,2015,8.0,67,Biography,0,1
645,646,Long Distance Revolutionary: A Journey with Mumia Abu-Jamal,2013,7.7,55,Biography,0,1
662,663,Vessel,2014,7.6,51,Biography,0,1
666,667,Mully,2015,8.1,53,Biography,0,1
671,672,Crime After Crime,2011,7.6,61,Biography,0,1
675,676,Macbeth,2010,7.5,50,Biography,0,1
683,684,Chavela,2017,7.7,71,Biography,0,1
760,761,Square One,2019,7.8,59,Crime,0,1
785,786,Crime After Crime,2011,7.6,61,Documentary,0,1
821,822,Rapid Response,2019,8.0,55,Documentary,0,1
850,851,Frantz,2016,7.5,77,Drama,0,1
871,872,I Am Kalam,2010,8.0,67,Family,0,1
890,891,Bey Yaar,2014,8.5,53,Family,0,1
899,900,Ninnu Kori,2017,7.5,54,Family,0,1
1048,1049,Guys Reading Poems,2016,7.6,50,Mystery,0,1
1097,1098,Madrasapattinam,2010,7.8,52,Romance,0,1
1106,1107,The Ghazi Attack,2017,7.6,67,Thriller,0,1
1170,1171,Les Misérables,2019,7.6,65,Action & Adventure,0,1
1181,1182,Mosul,2019,8.3,70,Action & Adventure,0,1
1189,1190,Sintel,2010,7.5,58,Animation,0,1
1197,1198,Wrinkles,2011,7.6,70,Animation,0,1
1229,1230,Harry & Snowman,2015,7.6,67,Biography,0,1
1264,1265,Stop at Nothing: The Lance Armstrong Story,2014,7.5,56,Biography,0,1
1394,1395,Chavela,2017,7.7,71,Documentary,0,1
1398,1399,The Good Son,2013,7.7,58,Documentary,0,1
1468,1469,Vazhakku Enn 18/9,2012,8.3,52,Family,0,1
1511,1512,RWBY: Volume 3,2016,8.7,51,Fantasy,0,1
1749,1750,The Maker,2011,7.8,56,Animation,0,1
1751,1752,Digimon Adventure tri. Part 6: Future,2018,7.5,52,Animation,0,1
1788,1789,Dirtbag: The Legend of Fred Beckey,2017,7.7,68,Biography,0,1
1791,1792,Mahanati,2018,8.5,77,Biography,0,1
1811,1812,The Man Who Saved the World,2014,7.6,65,Biography,0,1
1822,1823,Ray Harryhausen: Special Effects Titan,2011,7.6,67,Biography,0,1
1918,1919,Agent Sai Srinivasa Athreya,2019,8.4,57,Crime,0,1
1955,1956,Wait for Your Laugh,2017,8.3,68,Documentary,0,1
1959,1960,Harry & Snowman,2015,7.6,67,Documentary,0,1
2016,2017,Custody,2018,7.5,77,Drama,0,1
2025,2026,Big Sonia,2017,7.6,65,Family,0,1
2150,2151,The System,2018,7.9,55,Mystery,0,1
2269,2270,The Man from Nowhere,2010,7.8,71,Action & Adventure,0,1
2342,2343,SlingShot,2014,7.7,58,Biography,0,1
2353,2354,Return to Homs,2013,7.7,64,Biography,0,1
2385,2386,A Good Day to Die,2010,7.9,50,Biography,0,1
2386,2387,Legends of the Knight,2013,7.9,50,Biography,0,1
2503,2504,Untamed Romania,2018,8.5,54,Documentary,0,1
2507,2508,Almost Sunrise,2017,7.7,60,Documentary,0,1
2518,2519,DamNation,2014,7.6,60,Documentary,0,1
2581,2582,Legends of the Knight,2013,7.9,50,Family,0,1
2610,2611,Trash Dance,2012,7.5,57,Family,0,1
2786,2787,Jallikattu,2019,7.5,63,Thriller,0,1
2933,2934,Nickys Family,2011,8.0,61,Biography,0,1
3114,3115,Indie Game: The Movie,2012,7.6,80,Drama,0,1
3357,3358,Theeran Adhigaaram Ondru,2017,8.2,61,Thriller,0,1
3456,3457,Tashi and the Monk,2015,8.0,50,Biography,0,1
3490,3491,Faith Connections,2013,7.5,50,Biography,0,1
3580,3581,Who Killed Captain Alex?,2010,8.2,56,Crime,0,1
3597,3598,The Whole Gritty City,2013,8.1,61,Documentary,0,1
3614,3615,Stop at Nothing: The Lance Armstrong Story,2014,7.5,56,Documentary,0,1
3622,3623,The Ghost Army,2013,7.6,51,Documentary,0,1
3628,3629,Giuseppe Makes a Movie,2014,7.9,56,Documentary,0,1
3844,3845,Sammohanam,2018,7.6,53,Romance,0,1
3911,3912,The System,2018,7.9,55,Thriller,0,1
3969,3970,Ernest & Celestine,2012,7.9,80,Action & Adventure,0,1
