,ID,Title,Year,Rating,IMDb,Rotten Tomatoes,Genre,Netflix,Amazon Prime Video
42,43,Ernest & Celestine,2012,7+,7.9,80,Animation,0,1
83,84,Facing Ali,2009,18+,8.0,58,Biography,0,1
90,91,Sacco & Vanzetti,1971,,7.8,65,Biography,0,1
93,94,Gordon Lightfoot: If You Could Read My Mind,2019,,7.7,51,Biography,0,1
97,98,Drew: The Man Behind the Poster,2013,,7.5,59,Biography,0,1
100,101,Casting By,2012,16+,7.6,70,Biography,0,1
106,107,My Name Is Nobody,1973,7+,7.5,80,Comedy,0,1
133,134,Thank You for Smoking,2005,18+,7.6,86,Comedy,0,1
134,135,Rudderless,2014,18+,7.5,73,Comedy,0,1
136,137,Ernest & Celestine,2012,7+,7.9,80,Comedy,0,1
181,182,Los Olvidados,1950,,8.3,67,Crime,0,1
193,194,10 Rillington Place,1971,7+,7.6,71,Crime,0,1
214,215,Higher,2014,all,7.7,50,Documentary,0,1
228,229,Vessel,2014,,7.6,51,Documentary,0,1
229,230,The Heart of Man,2017,13+,8.3,55,Documentary,0,1
231,232,What Lies Upstream,2017,16+,7.6,54,Documentary,0,1
235,236,The Russian Five,2018,,8.2,60,Documentary,0,1
242,243,Mully,2015,7+,8.1,53,Documentary,0,1
260,261,Thank You for Smoking,2005,18+,7.6,86,Drama,0,1
265,266,Rudderless,2014,18+,7.5,73,Drama,0,1
272,273,Ernest & Celestine,2012,7+,7.9,80,Drama,0,1
327,328,The Cat Came Back,1988,,7.5,52,Family,0,1
487,488,God of Love,2010,,7.6,53,Romance,0,1
489,490,Little England,2013,,7.8,58,Romance,0,1
588,589,No Game No Life: Zero,2017,18+,7.5,59,Action & Adventure,0,1
603,604,Casino Royale,2006,13+,8.0,93,Action & Adventure,0,1
614,615,The Snowman,1982,all,8.2,80,Animation,0,1
615,616,Urusei Yatsura 2: Beautiful Dreamer,1984,,7.5,57,Animation,0,1
620,621,The Gruffalo,2009,all,7.5,61,Animation,0,1
626,627,Room on the Broom,2012,,7.6,60,Animation,0,1
629,630,Digimon Adventure tri. Part 2: Determination,2016,,7.5,50,Animation,0,1
630,631,Kirikou and the Sorceress,1998,,7.5,77,Animation,0,1
640,641,The Gospel of John,2003,13+,7.8,64,Biography,0,1
643,644,Mr. Calzaghe,2015,,8.0,67,Biography,0,1
645,646,Long Distance Revolutionary: A Journey with Mumia Abu-Jamal,2013,,7.7,55,Biography,0,1
658,659,The Time to Live and the Time to Die,1985,7+,7.7,71,Biography,0,1
662,663,Vessel,2014,,7.6,51,Biography,0,1
666,667,Mully,2015,7+,8.1,53,Biography,0,1
671,672,Crime After Crime,2011,,7.6,61,Biography,0,1
675,676,Macbeth,2010,,7.5,50,Biography,0,1
683,684,Chavela,2017,,7.7,71,Biography,0,1
760,761,Square One,2019,,7.8,59,Crime,0,1
780,781,Love Meetings,1965,,7.5,53,Documentary,0,1
785,786,Crime After Crime,2011,,7.6,61,Documentary,0,1
804,805,Hype!,1996,,7.6,71,Documentary,0,1
821,822,Rapid Response,2019,13+,8.0,55,Documentary,0,1
850,851,Frantz,2016,13+,7.5,77,Drama,0,1
863,864,Dear Zachary: A Letter to a Son About His Father,2008,,8.5,86,Drama,0,1
871,872,I Am Kalam,2010,all,8.0,67,Family,0,1
